date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:01:05	4281/4281	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20May%202018%2014:01:05%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/Exercice2.html	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/Exercice2.html	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/index.html?part=ID_PubliTool_N10445)
16:01:05	3942/3942	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20May%202018%2014:01:06%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/Exercice6.html	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/Exercice6.html	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/index.html?part=ID_PubliTool_N10445)
16:01:07	123617/123617	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2031%20May%202018%2014:01:06%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/PlanMemoireNexys3IO.svg?echelle=1.0	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/PlanMemoireNexys3IO9f8e.svg	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/index.html?part=ID_PubliTool_N106A0)
16:01:08	10084/10084	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2031%20May%202018%2014:01:07%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/Digit7Segments.svg?echelle=4.0	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/Digit7Segmentsc581.svg	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/index.html?part=ID_PubliTool_N106A0)
16:01:09	35243/35243	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2031%20May%202018%2014:01:09%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/CarteAudio.svg?echelle=0.6	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/CarteAudio358b.svg	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/index.html?part=ID_PubliTool_N10740)
16:01:10	36661/36661	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2031%20May%202018%2014:01:09%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/PlanMemoireAudio.svg?echelle=0.6	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/doc/PlanMemoireAudio358b.svg	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/index.html?part=ID_PubliTool_N10740)
16:01:11	117997/117997	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2031%20May%202018%2014:01:11%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape2/cascadeITD.svg?echelle=0.8	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape2/cascadeITD23f0.svg	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape2/index.html?part=ID_PubliTool_N10035)
16:01:12	22781/22781	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2031%20May%202018%2014:01:11%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape2/PlanMemoireNVICa.svg?echelle=0.8	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape2/PlanMemoireNVICa23f0.svg	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape2/index.html?part=ID_PubliTool_N10035)
16:01:13	556/556	---M--	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2007:53:51%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape2/Exemple1.ass	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape2/Exemple1.html	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape2/index.html?part=ID_PubliTool_N10035)
16:01:13	9991/9991	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2002%20Oct%202017%2007:53:51%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/symboleFDCE.svg	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/symboleFDCE.svg	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/index.html?part=ID_PubliTool_N1002B)
16:01:14	14076/14076	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2002%20Oct%202017%2007:53:51%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/chronoFDCE.svg	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/chronoFDCE.svg	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/index.html?part=ID_PubliTool_N1002B)
16:01:15	8168/8168	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2002%20Oct%202017%2007:53:51%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/symboleOBUFT.svg	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/symboleOBUFT.svg	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/index.html?part=ID_PubliTool_N100A4)
16:01:16	97769/97769	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2031%20May%202018%2014:01:15%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/moduleGPIOsimplifie.svg?echelle=0.7	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/moduleGPIOsimplified627.svg	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/index.html?part=ID_PubliTool_N10117)
16:01:16	39947/39947	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2031%20May%202018%2014:01:15%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/snapshotGPIOTst.svg?echelle=0.6	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/snapshotGPIOTst358b.svg	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/index.html?part=ID_PubliTool_N10117)
16:01:18	45530/45530	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2002%20Oct%202017%2007:53:51%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/PlanMemoireGPIO.svg	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/PlanMemoireGPIO.svg	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/index.html?part=ID_PubliTool_N10158)
16:01:20	180013/180013	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2031%20May%202018%2014:01:19%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/carteGPIO.svg?echelle=0.6	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/carteGPIO358b.svg	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/index.html?part=ID_PubliTool_N10158)
16:01:21	155554/155554	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2031%20May%202018%2014:01:19%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/CarteGPIOTstSimulationSnapshot.svg?echelle=0.6	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/CarteGPIOTstSimulationSnapshot358b.svg	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/index.html?part=ID_PubliTool_N10182)
